original,snake_case
Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),home_births_that_were_conducted_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct
Births attended by skilled health personnel (in the 5 years before the survey)10 (%),births_attended_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct
Births delivered by caesarean section (in the 5 years before the survey) (%),births_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct
Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),births_in_a_private_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct
Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),births_in_a_public_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),children_age_12_23_months_fully_vaccinated_based_on_information_from_either_vaccination_card_or_mother_s_recall11_pct
Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),children_age_12_23_months_fully_vaccinated_based_on_information_from_vaccination_card_only12_pct
Children age 12-23 months who have received BCG (%),children_age_12_23_months_who_have_received_bcg_pct
Children age 12-23 months who have received 3 doses of polio vaccine13 (%),children_age_12_23_months_who_have_received_3_doses_of_polio_vaccine13_pct
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),children_age_12_23_months_who_have_received_3_doses_of_penta_or_dpt_vaccine_pct
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),children_age_12_23_months_who_have_received_the_first_dose_of_measles_containing_vaccine_mcv_pct
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),children_age_24_35_months_who_have_received_a_second_dose_of_measles_containing_vaccine_mcv_pct
Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),children_age_12_23_months_who_have_received_3_doses_of_rotavirus_vaccine14_pct
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),children_age_12_23_months_who_have_received_3_doses_of_penta_or_hepatitis_b_vaccine_pct
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),children_age_9_35_months_who_received_a_vitamin_a_dose_in_the_last_6_months_pct
Children age 12-23 months who received most of their vaccinations in a public health facility (%),children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_public_health_facility_pct
Children age 12-23 months who received most of their vaccinations in a private health facility (%),children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_private_health_facility_pct
Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,prevalence_of_diarrhoea_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_oral_rehydration_salts_ors_children_under_age_5_years_pct
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_zinc_children_under_age_5_years_pct
Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,children_swith_diarrhoea_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct
Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,children_prevalence_of_symptoms_of_acute_respiratory_infection_ari_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct
